"fips","gini_cnty","income_cnty","black_cnty","pop_cnty","perc_bush"
13073,40.2,6.7115,14.5859,10.8015,75.6507
13075,43.6,3.1521,29.0152,1.6419,63.8808
13077,38.1,6.1854,17.2841,11.8531,74.8575
13079,45.4,3.5979,22.9878,1.2511,64.5729
13081,47.4,2.7545,45.2724,2.2062,62.1183
13083,41.9,4.0081,0.665837,1.607,70.5607
13085,41,5.2658,0.00937647,2.133,82.5348
13087,45.7,3.2769,39.7087,2.8495,26.8191
13089,46.4,5.1973,54.0878,73.306,59.9395
13091,46.1,3.1334,30.0381,1.9695,65.7865
13093,45.2,3.0172,49.7724,1.1641,48.4318
13095,50.1,3.4597,63.6232,9.533,40.9175
13097,39.6,5.5512,33.5684,12.2657,61.7752
13099,46.4,2.8063,51.0075,1.1812,59.4943
13101,36.5,3.523,1.82824,0.4157,76.6194
13103,37.5,5.3883,14.288,5.0357,77.586
13105,44.1,3.2213,30.1108,2.0574,60.7872
13107,46.7,2.7924,33.2405,2.262,62.71
13109,42.1,3.7473,29.9493,1.1446,65.3824
13111,41.5,3.6785,0.205046,2.2434,71.5523
13113,39.9,8.1206,18.6547,10.5303,71.52
13115,45.9,4.1952,13.4997,9.5239,68.0681
13117,38.9,8.804,2.95085,15.7514,83.7065
13119,47.5,3.4725,8.85213,2.1701,69.9102
13121,53.1,5.8573,42.937,98.7148,39.4395
13123,45.9,3.4325,0.0845636,2.8381,74.7078
13125,42.7,3.4036,12.3173,0.2736,80.2528
13127,47.5,4.8785,25.5318,7.4507,67.4915
13129,40.6,4.0283,3.58385,5.176,74.3423
13131,48.2,3.4025,28.1723,2.4801,62.0939
13133,54.3,3.8973,38.8509,1.5629,59.4622
13135,40,6.5136,20.1935,76.6912,66.3
13137,44,4.0412,4.59679,4.179,79.1439
13139,43.7,5.1222,6.54529,17.7685,78.7186
13141,45.9,2.6786,75.9763,0.9449,23.24
13143,44.1,3.829,5.15424,2.8559,75.9925
13145,44.3,6.3368,18.6228,2.8884,72.2992
13147,47.6,3.8132,20.1096,2.4088,61.2702
13149,39.2,4.064,10.1462,1.1423,70.8333
13151,36,6.5002,30.4659,18.2952,66.9622
13153,41.1,5.4037,26.9758,13.091,66.4914
13155,43.6,3.7328,25.1036,1.0138,69.07
13157,41.4,4.8114,7.51142,5.8644,78.4332
13159,43.6,4.2242,22.5714,1.3588,66.9565
13161,42.5,2.9932,15.9029,1.3312,73.5392
13163,45.3,2.9036,54.9879,1.648,47.0751
13165,49.4,2.6652,34.4468,0.8532,55.9457
13167,53.3,2.5789,38.7416,0.9202,64.3422
13169,40.6,4.9337,23.5801,2.7256,64.2917
13171,43,3.5835,29.3886,1.701,62.3471
13173,44.3,3.4497,24.0492,0.7967,63.8025
13175,47.6,3.8247,34.6706,4.751,63.4075
13177,39.1,6.0456,17.4036,3.2861,78.9849
13179,40,4.0911,41.5287,6.0994,48.0813
13181,42.4,3.535,31.4755,0.8038,63.3297
13183,36.2,4.1943,24.5919,1.1394,65.9384
13185,46.1,3.92,33.7232,10.244,60.2615
13187,43.5,4.1589,2.01007,2.6417,76.1872
13189,45.8,3.4897,38.5544,2.1624,62.459
13191,44.7,3.7629,34.6024,1.1268,52.9291
13193,47.4,2.8382,60.5583,1.3397,38.9111
13195,42,4.0106,8.59564,2.7735,74.1616
13197,40.7,3.2432,33.2906,0.7026,56.7063
13199,41.5,3.7305,40.4585,2.2858,54.2663
13201,49.2,3.3125,30.0519,0.6166,69.637
13205,43.3,3.6344,46.9422,2.3808,53.6232
13207,47.3,5.0579,25.732,2.4728,66.9747
13209,45.8,3.397,25.674,0.8939,68.1026
13211,50,4.4845,24.5861,1.812,68.0266
13213,41.7,3.8348,0.900456,4.0535,72.764
13215,47,4.0549,45.2784,18.8737,48.2749
13217,40,5.2743,33.9098,9.4076,62.3222
13219,44.1,6.9959,6.69913,3.1422,73.0758
13221,42.2,4.4465,19.0278,1.3927,65.9982
13223,34,6.0138,14.4069,12.578,76.6077
13225,45.8,4.3391,44.6289,2.6019,53.4884
13227,43.6,5.0145,2.26175,3.0021,77.0439
13229,43.7,3.5137,10.6169,1.783,79.1371
13231,36.8,5.2579,12.4794,1.7012,77.519
13233,41.1,3.9968,12.8797,4.1414,68.6421
13235,44.9,3.2053,34.097,0.9778,62.9863
13237,50.2,4.1297,28.0764,2.0145,64.3309
13239,43.5,3.0985,44.4654,0.2647,42.9622
13241,51.4,3.4308,0.917153,1.6464,70.7934
13243,52.8,2.8193,59.223,0.7259,46.7987
13245,46.8,3.7339,51.7127,19.8079,43.12
13247,39.7,5.5681,37.0156,8.1444,60.8442
